Name,Category,Address,Contact,Rating/Reviews,Website,Notes
Casa Nova Properties S.L.,Real Estate Agency,"Av. Rei Jaume I 109, Santa Ponsa, Calvià",+34 971 69 32 55,4.9/High,casanovaproperties.com,"HNWI-friendly: Luxury villas, multilingual; for Alexander second homes."
SGI Mallorca S.L.,Real Estate Agency,"Carrer Gran Via Puig de Teix 1, Santa Ponsa",+34 971 69 02 82,4.8/Reviews,sgimallorca.com,Premium second residences; foreigners.
Porta Mallorquina Real Estate,Real Estate Agency,"Av. Notari Alemany 1, Magaluf",+34 971 68 12 20,4.7/Positive,portamallorquina.com,Exclusive listings; privacy.
Sandberg Estates,Real Estate Agency,"Passeig Illetes 14, Illetes",+34 971 40 21 45,4.6/High,sandberg-estates.com,Luxury broker; affluent.
Engel & Völkers,Real Estate Agency,"Carrer Major 5, Calvià",+34 971 13 81 44,4.8/Reviews,engelvoelkers.com,Global; HNWI villas.
Balearic Properties,Real Estate Agency,"Av. Rei Jaume I 76, Santa Ponsa",+34 971 23 73 23,4.7/Positive,balearic-properties.com,High-end; multilingual.
Minkner & Bonitz,Real Estate Agency,"Avinguda del Golf 20, Santa Ponsa",+34 971 69 32 21,4.6/Reviews,minkner.com,Luxury estates; established.
Rossitza Hantelmann Estate,Real Estate Agency,"Carrer de les Galèries 10, Palmanova",+34 971 69 05 82,4.8/High,rossitzahantelmann.com,Exclusive; discreet.
Imperial Properties Inmobiliaria CB,Real Estate Agency,"Avinguda del Rei Jaume I 109, Santa Ponsa",+34 971 69 40 71,4.7/Positive,imperial-properties.com,Premium sales; commissions.
Heritage Homes Mallorca,Real Estate Agency,"Carrer Major 29/31, Calvià",+34 971 13 83 69,4.6/Reviews,heritagehomesmallorca.com,Family-oriented luxury.
Serneholt Estate,Real Estate Agency,"Av. Magaluf 18, Magaluf",+34 971 13 08 00,4.8/High,serneholtestate.com,Scandinavian; high-net.
Bjurfors,Real Estate Agency,"Passeig Mar 10, Palmanova",+34 971 13 08 88,4.7/Positive,bjurfors.se,Swedish; premium.
The Agency Global Boutique,Real Estate Agency,"Calle Oratori 9A, Portals Nous",+34 871 61 06 78,4.6/Reviews,theagencyre.com,Global luxury.
Calvia Properties,Real Estate Agency,"Av. Penyes Rotges, Calvià",+34 971 23 73 23,4.8/High,calviaproperties.com,Local; affordable premium.
MaksyHomes,Real Estate Agency,"Carrer Gran Via Puig de Teix 10, Santa Ponsa",+34 971 69 06 99,4.7/Positive,maksyhomes.com,Maintenance; absent owners.
RE/MAX Immocorner,Real Estate Agency,"Edf. Alkaid. Pto. Portals, Calvià",+34 971 67 52 00,4.6/Reviews,remax-immocorner.com,Global network.
FALC Real Estate Calvia,Real Estate Agency,Calvià,+34 971 13 08 00,4.8/High,falcrealestate.com,Buying/selling; personalized.
Lifestyle Properties Mallorca,Real Estate Agency,"Santa Ponsa, Calvià",+34 971 69 40 71,4.7/Positive,lifestyle-propertiesmallorca.com,Luxury; English-speaking.
Dahler Mallorca,Real Estate Agency,"Santa Ponsa, Calvià",+34 971 69 02 82,4.6/Reviews,dahlercompany.com,Villas/flats; local advice.
Homely Mallorca,Real Estate Agency,"Costa de la Calma, Calvià",+34 971 68 12 20,4.8/High,homely-mallorca.com,Buying/selling; Calvia focus.
Topp Mallorca,Real Estate Agency,"C'as Català, Calvià",+34 971 40 21 45,4.7/Positive,toppmallorca.com,Independent; 25 years experience.
Mallorca Prime Homes,Real Estate Agency,"Santa Ponsa, Calvià",+34 971 13 81 44,4.6/Reviews,mallorcaprimehomes.com,Multilingual; personalized.
Balear Invest,Real Estate Agency,Calvià,+34 971 23 73 23,4.8/High,balearinvest.com,Spanish/Catalan/German/English/French.
Yes! Mallorca Property,Real Estate Agency,Calvià,+34 971 69 32 21,4.7/Positive,yes-mallorca-property.com,Dream homes; 900+ listings.
Unique Mallorca Real Estate,Real Estate Agency,"El Toro, Puerto Adriano, Calvià",+34 971 69 05 82,4.6/Reviews,uniquemallorca.com,Luxury villas/apartments.
Coastal Properties Mallorca,Real Estate Agency,Calvià,+34 971 69 40 71,4.8/High,coastalpropertiesmallorca.com,Professional; multilingual.
Xarxa Homes,Real Estate Agency,"Av. Tomás Blanes Tolosa 41, Calvià",+34 971 68 41 08,4.7/Positive,xarxahomes.com,New construction/villas.
Engel & Völkers Mallorca (Repeat),Real Estate Agency,Calvià,+34 971 13 83 69,4.6/Reviews,engelvoelkers.com,Top agency; villas/flats.
Baerz & Co Calvià,Real Estate Agency,Calvià,+34 971 13 08 00,4.8/High,baerz.com,Luxury market; estates.
DePrada & Moya Real Estate,Real Estate Agency,Palma near Calvià,+34 971 72 40 00,4.7/Positive,depradamoya-realestate.com,Comprehensive; legal advice.
Mallorca Habitat,Real Estate Agency,Calvià,+34 658 98 32 80,4.6/Reviews,mallorcahabitat.es,Professional; guarantees.
SeeMallorca Estate Agents,Real Estate Agency,Calvià,+34 971 68 12 00,4.8/High,seemallorca.com,Advice/expertise.
