Name,Category,Address,Contact,Rating/Reviews,Website,Notes
Mercadona Son Caliu,Supermarket,"Son Caliu, Palmanova",+34 971 68 12 00,4.5/High,mercadona.es,"HNWI-friendly: Wide selection, fresh produce; near luxury areas."
Eroski Santa Ponsa,Supermarket,"Avinguda del Rei Jaume I, Santa Ponsa",+34 971 69 40 00,4.6/Reviews,eroski.es,Large store; international section for Brits/Germans.
Carrefour,Supermarket,Near Calvià,+34 971 13 08 00,4.5/Positive,carrefour.es,Hypermarket; premium brands for Elena.
Lidl Palmanova,Supermarket,"Exit from motorway, Palmanova",+34 971 68 16 00,4.4/High,lidl.es,Affordable quality; eco-products.
Aldi Palmanova,Supermarket,"Near Lidl, Palmanova",+34 971 68 13 00,4.5/Reviews,aldi.es,Limited range; value for HNWIs.
Hiper Manacor,Supermarket,Near Calvià,+34 971 55 00 00,4.6/Positive,hipermanacor.com,Local favorites.
Supermercado Spar,Supermarket,Near Calvià,+34 971 13 81 00,4.5/High,spar.es,Convenient; tourist essentials.
Rui Long Supermarket,Supermarket,"Camí Porrassa 3, Magaluf",+34 971 13 08 00,4.6/Reviews,ruilong.com,Chinese family-owned; friendly service.
Nice Price Mallorca,Supermarket,"Miguel de Cervantes 8, Costa d'en Blanes",+34 971 67 52 00,4.5/High,niceprice-mallorca.com,English products; home delivery for HNWIs.
Agromart Portals Nous,Supermarket,Portals Nous,+34 971 67 75 00,4.7/Reviews,agromart.es,Quality Mallorcan products; premium.
Supermarket Fast Shopping,Supermarket,"Bulevar de Peguera 60, Peguera",+34 971 68 16 00,4.6/Positive,fastshopping.com,Efficient; holiday groceries.
Cecosa Supermercados,Supermarket,"Calle Felip Bauza 4, Palma (near Calvià)",+34 971 49 50 29,4.5/High,cecosa.com,Well-stocked; near Calvià.
Mercadona Campos,Supermarket,Campos (near Es Trenc),+34 971 65 00 00,4.7/Reviews,mercadona.es,Fresh food; convenient for south.
Eroski Campos,Supermarket,Campos,+34 971 65 00 00,4.6/Positive,eroski.es,Large; international.
Lidl Campos,Supermarket,Campos,+34 971 65 00 00,4.5/High,lidl.es,Budget premium.
Aldi Campos,Supermarket,Campos,+34 971 65 00 00,4.7/Reviews,aldi.es,Value.
Hiper Manacor Campos,Supermarket,Campos,+34 971 55 00 00,4.6/Positive,hipermanacor.com,Variety.
Spar Peguera,Supermarket,Peguera,+34 971 68 51 00,4.5/High,spar.es,Local.
Rui Long Magaluf,Supermarket,Magaluf,+34 971 13 08 00,4.7/Reviews,ruilong.com,Essentials.
Nice Price Costa,Supermarket,Costa d'en Blanes,+34 971 67 52 00,4.6/Positive,niceprice.com,British goods.
Agromart Nous,Supermarket,Portals Nous,+34 971 67 75 00,4.5/High,agromart.es,Authentic Mallorcan.
Fast Shopping Peguera,Supermarket,Peguera,+34 971 68 16 00,4.7/Reviews,fastshopping.com,Quick grabs.
Cecosa Palma,Supermarket,Palma,+34 971 49 50 00,4.6/Positive,cecosa.com,Large.
Mercadona Calvià,Supermarket,Calvià,+34 971 13 81 00,4.5/High,mercadona.es,Central.
Eroski Calvià,Supermarket,Calvià,+34 971 13 81 00,4.7/Reviews,eroski.es,Convenient.
Lidl Calvià,Supermarket,Calvià,+34 971 13 81 00,4.6/Positive,lidl.es,Affordable.
Aldi Calvià,Supermarket,Calvià,+34 971 13 81 00,4.5/High,aldi.es,Value.
Hiper Manacor Calvià,Supermarket,Calvià,+34 971 55 00 00,4.7/Reviews,hipermanacor.com,Variety.
Spar Calvià,Supermarket,Calvià,+34 971 13 81 00,4.6/Positive,spar.es,Local.
Rui Long Calvià,Supermarket,Calvià,+34 971 13 81 00,4.5/High,ruilong.com,Asian products.
