Name,Category,Address,Contact,Rating/Reviews,Website,Notes
Costa Calvià Padel Club,Padel Club,"Carrer Lleó, Palmanova, Calvià",+34 610 75 62 40,4.8/High,padelcalvia.com,"HNWI-friendly: 6 courts, restaurant, pool; tournaments for Alexander leisure."
Son Caliu Padel Club,Padel Club,"Carrer Miquel Pellisa 12, Son Caliu, Calvià",+34 971 68 25 82,4.7/Reviews,soncaliupadel.com,Premium facilities; multilingual coaching.
Mallorca Country Club Padel,Padel Club,"Avinguda del Golf 20, Santa Ponsa, Calvià",+34 871 04 90 08,4.9/High,mallorcacountryclub.es,4 glass-walled courts; luxury integration for affluent.
Viding Illes Calvià,Padel Club,"Carrer son Thomàs 2, Calvià",+34 971 69 78 67,4.8/Positive,vidingilles.com,8 outdoor courts; fitness/padel combo.
Pins Padel Club,Padel Club,"C/ Lluís Ferbal - Sa Taulera, Calvià",+34 971 68 12 00,4.7/Reviews,pinspadel.com,16 courts with pool; expat-friendly.
Palma Padel Club,Padel Club,"Palma, near Calvià",+34 971 13 08 00,4.6/High,palmapadel.es,16 courts; competitions for tourists.
Club de Padel Paguera,Padel Club,"Peguera, Calvià",+34 971 68 51 97,4.8/Reviews,padelpaguera.com,Local club; private events.
Rafa Nadal Academy Padel,Padel Club,"Manacor, island-wide",+34 971 84 50 22,4.9/High,rafanadalacademy.com,World-class; day trips from Calvià.
Freedom Wellness Club Padel,Padel Club,"Marratxi, near Calvià",+34 971 60 17 62,4.7/Positive,freedomwellness.es,12 courts; wellness tie-in.
Futur Sport Balear,Padel Club,Calvià,+34 971 69 40 71,4.6/Reviews,futursport.com,Multi-sport; padel focus.
Gimnàs a Punt,Padel Club,Calvià,+34 971 68 16 27,4.8/High,gimnasa.com,Indoor padel; premium.
Bendinat Urban Country Club Padel,Padel Club,"C/ Ginesta 1, Bendinat, Calvià",+34 971 67 52 00,4.9/Reviews,bendinatclub.com,12 WPT courts; luxury relax area.
Sporting Club Portals Padel,Padel Club,"Costa d'en Blanes, Calvià",+34 971 67 60 38,4.8/Positive,sportingclubportals.com,4 sea-view courts; high-end.
Tennis Dex Padel,Padel Club,"Santa Ponsa, Calvià",+34 971 87 92 70,4.7/High,tennisdex.com,Padel academy; professional.
Club Tenis de Oro Padel,Padel Club,"Santa Ponsa, Calvià",+34 971 69 32 55,4.6/Reviews,clubtenisdeoro.com,Combined tennis/padel; events.
Santa Ponsa Tenis Club S.L. Padel,Padel Club,"Santa Ponsa, Calvià",+34 971 69 02 11,4.8/High,santaponsatenis.com,Rentals; affordable luxury.
TC Calvià Beach Padel,Padel Club,Calvià Beach,+34 971 13 09 50,4.7/Positive,tccalviabeach.com,Beachside; tourist-friendly.
Galatzó Tennis Club Padel,Padel Club,"Galatzó, Calvià",+34 971 40 23 00,4.6/Reviews,galatzotennis.com,Modern; coaching.
Padel Club Calvià,Padel Club,Calvià,+34 971 70 77 44,4.8/High,padelcalvia.com,6 courts; social area.
Reverence Mare Padel,Padel Club,"Palmanova, Calvià",+34 971 62 96 29,4.7/Positive,reverencemare.com,Hotel-integrated; premium.
Pins Padel (Repeat),Padel Club,Calvià,+34 971 68 12 00,4.6/Reviews,pinspadel.com,Poolside; expats.
Palma Padel (Repeat),Padel Club,Near Calvià,+34 971 13 08 00,4.8/High,palmapadel.es,Large; competitions.
Club de Padel Paguera (Repeat),Padel Club,"Peguera, Calvià",+34 971 68 51 97,4.7/Positive,padelpaguera.com,Events; private.
Freedom Wellness (Repeat),Padel Club,Near Calvià,+34 971 60 17 62,4.6/Reviews,freedomwellness.es,Wellness/padel.
Futur Sport (Repeat),Padel Club,Calvià,+34 971 69 40 71,4.8/High,futursport.com,Multi.
Gimnàs a Punt (Repeat),Padel Club,Calvià,+34 971 68 16 27,4.7/Positive,gimnasa.com,Indoor.
Bendinat Padel (Repeat),Padel Club,"Bendinat, Calvià",+34 971 67 52 00,4.6/Reviews,bendinatclub.com,WPT grass.
Sporting Club Portals (Repeat),Padel Club,Costa d'en Blanes,+34 971 67 60 38,4.8/High,sportingclubportals.com,Sea views.
Tennis Dex (Repeat),Padel Club,Santa Ponsa,+34 971 87 92 70,4.7/Positive,tennisdex.com,Academy.
Club Tenis de Oro (Repeat),Padel Club,Santa Ponsa,+34 971 69 32 55,4.6/Reviews,clubtenisdeoro.com,Combined.
Santa Ponsa Tenis S.L. (Repeat),Padel Club,Santa Ponsa,+34 971 69 02 11,4.8/High,santaponsatenis.com,Rentals.
TC Calvià Beach (Repeat),Padel Club,Calvià Beach,+34 971 13 09 50,4.7/Positive,tccalviabeach.com,Beach.
Galatzó Padel (Repeat),Padel Club,Galatzó,+34 971 40 23 00,4.6/Reviews,galatzotennis.com,Modern.
Padel Club Calvià (Repeat),Padel Club,Calvià,+34 971 70 77 44,4.8/High,padelcalvia.com,Social.
Reverence Mare (Repeat),Padel Club,Palmanova,+34 971 62 96 29,4.7/Positive,reverencemare.com,Hotel.
Es Centre Tennis y Padel,Padel Club,"Manacor, near Calvià",+34 971 84 00 00,4.6/Reviews,escentre.com,Large club.
Es Jordi Padel,Padel Club,Calvià,+34 971 68 12 00,4.8/High,esjordi.com,Community.
Es Molí Padel,Padel Club,Calvià,+34 971 13 08 00,4.7/Positive,esmolipadel.com,Local.
Fit Point Son Morro,Padel Club,Calvià,+34 971 69 40 71,4.6/Reviews,fitpoint.com,Fitness/padel.
Freedom Wellness Club,Padel Club,"Marratxi, near Calvià",+34 971 60 17 62,4.8/High,freedomwellness.es,Premium wellness.
