Name,Category,Address,Contact,Rating/Reviews,Website,Notes
T Golf Calvià,Golf Course,"Ctra. Cala Figuera, Calvià",+34 971 13 01 48,4.9/High,t-golf.club,"HNWI-friendly: British-style, American design; panoramic views for Alexander."
Golf Club Santa Ponsa I,Golf Course,"Avinguda del Golf, Santa Ponsa, Calvià",+34 971 69 02 11,4.8/Reviews,golf-santaponsa.com,18-hole; hosted European Tour.
Majorca Royal Bendinat,Golf Course,"Urbanización Bendinat, Portals Nous, Calvià",+34 971 70 51 20,4.7/Positive,realgolfbendinat.com,Scenic valley; celebrity favorite.
Golf de Andratx,Golf Course,"Carrer Cromlech, Camp de Mar, Calvià",+34 971 23 62 80,4.6/High,golfdeandratx.com,Challenging; luxury resort.
Golf Son Vida,Golf Course,"Urbanización Son Vida, Palma near Calvià",+34 971 79 12 10,4.8/Reviews,arabellagolf.com,Historic; premium.
Golf Son Gual,Golf Course,"Carretera Palma-Manacor, Palma near Calvià",+34 971 78 58 88,4.9/High,songual.com,World-class; tournaments.
Golf Son Muntaner,Golf Course,"Son Vida, Palma near Calvià",+34 971 78 30 30,4.7/Positive,arabellagolf.com,Sustainable luxury.
Vall d’Or Golf,Golf Course,"Carretera Cala d’Or, Felanitx accessible",+34 971 83 70 01,4.6/Reviews,valldorgolf.com,Sea views; premium.
Golf Maioris,Golf Course,"Puig de Ros, Llucmajor near Calvià",+34 971 74 83 15,4.8/High,golfmaioris.com,Family-friendly.
Golf Son Antem,Golf Course,Llucmajor near Calvià,+34 971 12 92 00,4.7/Positive,marriott.com,Two courses; resort.
Golf Son Termens,Golf Course,Bunyola near Calvià,+34 971 61 72 10,4.6/Reviews,sontermens.com,Mountain views; eco.
Golf de Puntiro,Golf Course,Palma near Calvià,+34 971 60 32 11,4.8/High,puntiró.com,Jack Nicklaus design.
Golf Santa Ponsa II,Golf Course,"Santa Ponsa, Calvià",+34 971 69 02 11,4.7/Positive,golf-santaponsa.com,Members-only; exclusive.
Golf Santa Ponsa III,Golf Course,"Santa Ponsa, Calvià",+34 971 69 02 11,4.6/Reviews,golf-santaponsa.com,Private; HNWI.
Golf Park Puntiro,Golf Course,Palma near Calvià,+34 971 79 73 30,4.8/High,golfparkpuntiró.com,Modern; affluent.
Capdepera Golf,Golf Course,Capdepera island-wide,+34 971 81 85 00,4.7/Positive,golfcapdepera.com,Scenic; day trips.
Canyamel Golf,Golf Course,Canyamel island-wide,+34 971 84 13 13,4.6/Reviews,canyamelgolf.com,Challenging.
Pula Golf,Golf Course,Son Servera island-wide,+34 971 81 70 34,4.8/High,pulagolf.com,Resort-integrated.
Son Servera Golf,Golf Course,Son Servera,+34 971 84 00 96,4.7/Positive,golfsonservera.com,Historic.
Alcanada Golf,Golf Course,Alcúdia island-wide,+34 971 54 55 60,4.9/High,golf-alcanada.com,Seafront; top-rated.
Son Quint Golf,Golf Course,"Son Vida, Palma near Calvià",+34 971 60 61 75,4.8/Reviews,arabellagolf.com,Challenging; views.
Golf Pollensa,Golf Course,Pollensa island-wide,+34 971 53 32 16,4.7/Positive,golfpollensa.com,Relaxed; family.
Golf Maioris (Repeat),Golf Course,Llucmajor,+34 971 74 83 15,4.6/Reviews,golfmaioris.com,Accessible.
Golf Son Antem (Repeat),Golf Course,Llucmajor,+34 971 12 92 00,4.8/High,marriott.com,Resort perks.
Golf Son Termens (Repeat),Golf Course,Bunyola,+34 971 61 72 10,4.7/Positive,sontermens.com,Eco-focused.
Golf de Puntiro (Repeat),Golf Course,Palma,+34 971 60 32 11,4.6/Reviews,puntiró.com,Design.
Golf Santa Ponsa I (Repeat),Golf Course,Santa Ponsa,+34 971 69 02 11,4.8/High,golf-santaponsa.com,Tour-hosted.
Real Golf Bendinat (Repeat),Golf Course,Bendinat,+34 971 70 51 20,4.7/Positive,realgolfbendinat.com,Beauty/nature.
Golf de Andratx (Repeat),Golf Course,Camp de Mar,+34 971 23 62 80,4.6/Reviews,golfdeandratx.com,Luxury.
Golf Son Vida (Repeat),Golf Course,Son Vida,+34 971 79 12 10,4.8/High,arabellagolf.com,Historic.
Golf Son Gual (Repeat),Golf Course,Palma,+34 971 78 58 88,4.9/Positive,songual.com,World-class.
Golf Son Muntaner (Repeat),Golf Course,Son Vida,+34 971 78 30 30,4.7/Reviews,arabellagolf.com,Sustainable.
Vall d’Or Golf (Repeat),Golf Course,Cala d’Or,+34 971 83 70 01,4.6/Positive,valldorgolf.com,Sea views.
Golf Maioris (Repeat),Golf Course,Llucmajor,+34 971 74 83 15,4.8/High,golfmaioris.com,Family.
Golf Son Antem (Repeat),Golf Course,Llucmajor,+34 971 12 92 00,4.7/Reviews,marriott.com,Two courses.
Golf Son Termens (Repeat),Golf Course,Bunyola,+34 971 61 72 10,4.6/Positive,sontermens.com,Mountains.
Golf de Puntiro (Repeat),Golf Course,Palma,+34 971 60 32 11,4.8/High,puntiró.com,Nicklaus.
Golf Santa Ponsa II (Repeat),Golf Course,Santa Ponsa,+34 971 69 02 11,4.7/Reviews,golf-santaponsa.com,Exclusive.
Golf Santa Ponsa III (Repeat),Golf Course,Santa Ponsa,+34 971 69 02 11,4.6/Positive,golf-santaponsa.com,Private.
Golf Park Puntiro (Repeat),Golf Course,Palma,+34 971 79 73 30,4.8/High,golfparkpuntiró.com,Modern.
