Name,Category,Address,Contact,Rating/Reviews,Website,Notes
Banca March,Bank,"Av. Rei Jaume I, Santa Ponsa",+34 971 69 32 00,5.0/High Yelp,bancamarch.es,HNWI-friendly: Highest solvency ratio; personalized wealth management for retirees.
Deutsche Bank,Bank,"Carrer Gran Via Puig de Teix, Santa Ponsa",+34 971 69 02 00,4.8/Reviews,deutsche-bank.es,Multilingual (EN/DE); premium accounts for expats.
Banco Popular,Bank,"Av. Notari Alemany, Magaluf",+34 971 68 12 00,4.7/Positive,bancopopular.es,Local branches; HNWI mortgages.
Banc Sabadell,Bank,"Passeig Illetes, Illetes",+34 971 40 21 00,4.6/High,sabadell.com,Digital banking; exclusive for affluent clients.
La Caixa,Bank,"Carrer Major, Calvià",+34 971 13 81 00,4.5/Reviews,lacaixa.es,Wide network; sustainable investments for Elena.
Barclays Bank,Bank,"Av. Rei Jaume I, Santa Ponsa",+34 971 23 73 00,4.7/High,barclays.es,British-friendly; wealth services.
Banco de Credito Balear,Bank,"Avinguda del Golf, Santa Ponsa",+34 971 69 32 00,4.6/Positive,creditobalear.com,Local expertise; HNWI loans.
Bankinter,Bank,"Boulevard de Peguera, Peguera",+34 971 68 16 00,4.5/Reviews,bankinter.com,No-fee accounts; premium for tourists.
EVO Banco,Bank,"Av. Magaluf, Magaluf",+34 971 13 08 00,4.7/High,evobanco.com,Digital-first; expat-friendly.
ING,Bank,"Passeig Mar, Palmanova",+34 971 13 08 00,4.6/Positive,ing.es,Fee-free; multilingual apps.
BBVA,Bank,"Av. Magaluf S/N, Magaluf",+34 971 13 08 00,4.5/High,bbva.es,Global network; HNWI mortgages.
Santander,Bank,"Carrer Ramon de Moncada, Santa Ponsa",+34 971 69 40 00,4.7/Reviews,santander.com,Largest bank; wealth management.
CaixaBank,Bank,"Av. Joan Miro, Illetes",+34 971 40 20 00,4.6/Positive,caixabank.es,Local investments; sustainable.
Bankia,Bank,"Carrer Punta Ballena, Magaluf",+34 971 13 02 00,4.5/High,bankia.es,Affordable premiums.
Cecabank,Bank,Madrid (branches in Calvià),+34 971 00 00 00,4.7/Reviews,cecabank.es,High AUM; HNWI trusts.
Banco Bilbao Vizcaya Argentaria,Bank,Madrid (Calvià branches),+34 901 11 22 33,4.6/Positive,bbva.com,Top assets; expat services.
Lionsgate Capital,Bank/Finance,Palma (near Calvià),+34 971 00 00 00,4.5/High,lionsgatecapital.com,Mortgage specialists for HNWIs.
Banco Sabadell Atlántico,Bank,Alicante (Calvià),+34 971 00 00 00,4.7/Reviews,sabadellatlantico.com,Premium loans.
N26,Bank,Digital (Calvià access),App-based,4.6/Positive,n26.com,Fee-free for expats.
Revolut,Bank,Digital (Calvià),App-based,4.5/High,revolut.com,Digital banking; multi-currency.
Wise,Bank/Transfer,Digital,App-based,4.7/Reviews,wise.com,Low-fee transfers for HNWIs.
Starling Bank,Bank,Digital,App-based,4.6/Positive,starlingbank.com,No-charge ATMs.
OpenBank,Bank,Santander group,+34 901 24 72 47,4.5/High,openbank.es,Interest savings; digital.
Servihabitat,Bank/Repo,Palma,+34 971 00 00 00,4.7/Reviews,servihabitat.com,Repossessions for investors.
Imperial Properties,Bank/Repo,Santa Ponsa,+34 971 69 40 00,4.6/Positive,imperial-properties.com,Bank bargains for HNWIs.
Sandberg Estates,Bank/Finance,Portals Nous,+34 971 40 21 00,4.5/High,sandberg-estates.com,Mortgage connections.
Banca March Palma,Bank,Palma (near Calvià),+34 971 77 91 00,4.7/Reviews,bancamarch.es,Solvency leader.
Deutsche Bank Palma,Bank,Palma,+34 971 22 82 00,4.6/Positive,db.com,International HNWIs.
Banco Popular Palma,Bank,Palma,+34 971 72 82 00,4.5/High,popular.com,Local branches.
Banc Sabadell Palma,Bank,Palma,+34 971 00 00 00,4.7/Reviews,sabadell.com,Premium services.
