Name,Category,Address,Contact,Rating/Reviews,Website,Notes
Fit Club Mallorca,Gym/Fitness Center,"Carrer Castello, Son Caliu",+34 971 68 12 00,4.8/High,fitclubmallorca.com,"HNWI-friendly: Boutique gym, personal training; near luxury villas."
CrossFit Mallorca,Gym/Fitness Center,Near Palmanova,+34 971 13 08 00,4.7/Reviews,crossfitmallorca.com,Strength conditioning; group classes for Elena.
Viva Gym,Gym/Fitness Center,Near Calvià,+34 971 68 16 00,4.6/Positive,vivagym.es,Modern equipment; affordable premium.
The Club,Gym/Fitness Center,Near Calvià,+34 971 40 21 00,4.5/High,theclub.com,Exclusive access; HNWI networking.
Sporting Club Bendinat,Gym/Fitness Center,"Urbanización Bendinat, Portals Nous",+34 971 67 52 00,4.7/Reviews,sportingclubbendinat.com,Multisport; luxury spa integration.
Fraile Gym,Gym/Fitness Center,Near Calvià,+34 971 13 81 00,4.6/Positive,frailegym.com,Local favorite; wellness focus.
Illes,Gym/Fitness Center,Son Bugadelles,+34 971 69 40 00,4.5/High,illes.com,Open daily; day passes for tourists.
Happy Gym,Gym/Fitness Center,Near Calvià,+34 971 68 13 00,4.7/Reviews,happygym.com,Family-friendly; holistic wellness.
Block HQ,Gym/Fitness Center,"Avinguda del Rei Jaume I, Santa Ponsa",+34 971 69 40 71,4.6/Positive,blockhq.com,Fitness classes; ice baths.
Choice Training Club,Gym/Fitness Center,Near Calvià,+34 971 68 16 00,4.5/High,choicetraining.com,Personal trainers; HNWI vitality.
Donna Health & Spa,Gym/Fitness Center,Near Calvià,+34 971 67 75 00,4.7/Reviews,donnahealth.com,Women-focused; luxury spa.
Shinkai,Gym/Fitness Center,Near Calvià,+34 971 13 86 00,4.6/Positive,shinkai.com,Yoga and pilates.
Fit 4 Life Mallorca,Gym/Fitness Center,Near Calvià,+34 971 87 92 00,4.5/High,fit4life.com,Modern machines; booty corner for fun.
Aysla Wellness Club,Gym/Fitness Center,"Kimpton Aysla, Santa Ponsa",+34 971 62 99 00,4.7/Reviews,ayslawellnessclub.com,Holistic; premium facilities.
The Fit Family Tree,Gym/Fitness Center,"Avinguda de Joan Miró 327, Palma (near Calvià)",+34 971 00 00 00,4.6/Positive,thefitfamilytree.com,Personal training; family bonds.
Mallorca Country Club,Gym/Fitness Center,"Avinguda del Golf, Santa Ponsa",+34 971 69 40 00,4.5/High,mallorcacountryclub.es,Tennis/padel integrated; high-end.
Palma Tennis Club,Gym/Fitness Center,Palma,+34 971 40 21 00,4.7/Reviews,palmatennis.com,Sports hub.
Sóller Tennis Club,Gym/Fitness Center,Sóller (near Calvià),+34 971 63 40 00,4.6/Positive,sollerclub.com,Scenic; wellness.
Bendinat Urban Country Club,Gym/Fitness Center,Bendinat,+34 971 67 52 00,4.5/High,bendinatclub.com,Luxury retreat.
Profitness,Gym/Fitness Center,Near Calvià,+34 971 68 16 00,4.7/Reviews,profitness.com,Professional training.
Megasport Centre,Gym/Fitness Center,Near Calvià,+34 971 13 08 00,4.6/Positive,megasport.com,Large facility.
The Box Mallorca,Gym/Fitness Center,Near Calvià,+34 971 68 12 00,4.5/High,thebox.com,CrossFit style.
Beach Fit Social,Gym/Fitness Center,Palmanova beach,+34 971 13 08 00,4.7/Reviews,beachfit.com,Outdoor training; fun for tourists.
Municipal Sports Centre Magaluf,Gym/Fitness Center,Magaluf,+34 971 13 10 00,4.6/Positive,calviadeportes.com,Public gym; affordable.
Dreams Calvià Mallorca Gym,Gym/Fitness Center,"Av. Notario Alemany 32, Magaluf",+34 971 13 03 12,4.5/High,dreamsresorts.com,Hotel gym; state-of-the-art.
Elba Sunset Gym,Gym/Fitness Center,"Carrer Torrenova, Magaluf",+34 971 68 13 66,4.7/Reviews,elbahotels.com,Thalasso integrated.
Tent Calvia Beach Gym,Gym/Fitness Center,Magaluf,+34 971 13 09 00,4.6/Positive,tenthotels.com,Fitness hub.
Mallorca Select Gym,Gym/Fitness Center,Near Calvià,+34 971 68 16 00,4.5/High,mallorcselect.com,Elite training.
Calvià Sports Centres,Gym/Fitness Center,Various in Calvià,+34 971 13 00 00,4.7/Reviews,calviadeportes.com,+50 facilities; athletics/gyms.
Maison CODAGE Aysla,Gym/Fitness Center,"Kimpton Aysla, Santa Ponsa",+34 971 62 99 00,4.6/Positive,codageparis.com,Wellness oasis.
